"�..Name","Nationality","Origin"
"Cristiano Ronaldo","Portugal","PT"
"Lionel Messi","Argentina","AR"
"Luis Suarez","Uruguay","UY"
"Antoine Griezmann","France","FR"
"Neymar","Brazil","BR"
"Gareth Bale","Wales","GB"
"Robert Lewandowski","Poland","PL"
"Pierre-Emerick Aubameyang","Gabon","GA"
"Alexis Sánchez","Chile","CL"
"Riyad Mahrez","Algeria","DZ"
"Sergio Agüero","Argentina","AR"
"Luka Modric","Croatia","HR"
"Kevin De Bruyne","Belgium","BE"
"Gonzalo Higuain","Argentina","AR"
"Andrés Iniesta","Spain","ES"
"N'Golo Kanté","France","FR"
"Paul Pogba","France","FR"
"Manuel Neuer","Germany","DE"
"Jamie Vardy","England","GB"
"Zlatan Ibrahimovic","Sweden","SE"
"Toni Kroos","Germany","DE"
"Gianluigi Buffon","Italy","IT"
"Mesut Özil","Germany","DE"
"Diego Godin","Uruguay","UY"
"Sergio Ramos","Spain","ES"
"Leonardo Bonucci","Italy","IT"
"Dimitri Payet","France","FR"
"Philippe Coutinho","Brazil","BR"
"David De Gea","Spain","ES"
"Pepe","Portugal","PT"
"Thomas Müller","Germany","DE"
"Arturo Vidal","Chile","CL"
"Harry Kane","England","GB"
"Ivan Rakitić ","Croatia","HR"
"Eden Hazard","Belgium","BE"
"Jérôme Boateng","Germany","DE"
"Paulo Dybala","Argentina","AR"
"Gerard Piqué","Spain","ES"
"Sergio Busquets","Spain","ES"
"Hugo Lloris","France","FR"
"Koke","Spain","ES"
"Jan Oblak","Slovenia","SI"
"Angel Di María","Argentina","AR"
"David Silva","Spain","ES"
"Marco Verratti","Italy","IT"
"Diego Costa","Brazil","BR"
"Edinson Cavani","Uruguay","UY"
"Marcelo","Brazil","BR"
"Mauro Icardi","Argentina","AR"
"Karim Benzema","France","FR"
"Mats Hummels","Germany","DE"
"Thiago Silva","Brazil","BR"
"Casemiro","Brazil","BR"
"Renato Sanches","Portugal","PT"
"Keylor Navas","Costa Rica","CR"
"Philipp Lahm","Germany","DE"
"Henrikh Mkhitaryan","Armenia","AM"
"Toby Alderweireld","Belgium","BE"
"Kevin Gameiro","France","FR"
"Joshua Kimmich","Germany","DE"
"David Alaba","Austria","AT"
"Javier Mascherano","Argentina","AR"
"Douglas Costa","Brazil","BR"
"Gabriel Jesus","Brazil","BR"
"Mohamed Salah","Egypt","EG"
"Giorgio Chiellini","Italy","IT"
"Aritz Aduriz","Spain","ES"
"Laurent Koscielny","France","FR"
"Sadio Mané","Senegal","SN"
"Miralem Pjanic","Bosnia and Herzegovina","BA"
"Álvaro Morata","Spain","ES"
"Kasper Schmeichel","Denmark","DK"
"Aaron Ramsey","Wales","GB"
"Raphaël Guerreiro","Portugal","PT"
"Rui Patrício","Portugal","PT"
"Roberto Firmino","Brazil","BR"
"Yannick Carrasco","Belgium","BE"
"Dani Alves","Brazil","BR"
"Nani","Portugal","PT"
"Gianluigi Donnarumma","Italy","IT"
"Claudio Bravo","Chile","CL"
"Marek Hamsik","Slovakia","SK"
"Miguel Borja","Colombia","CO"
"Blaise Matuidi","France","FR"
"Ilkay Gündogan","Germany","DE"
"Juan Mata","Spain","ES"
"James Rodríguez","Colombia","CO"
"Raheem Sterling","England","GB"
"Arjen Robben","Netherlands","NL"
"Dele Alli","England","GB"
"Adrien Silva","Portugal","PT"
"Thibaut Courtois","Belgium","BE"
"Fernandinho","Brazil","BR"
"Alexandre Lacazette","France","FR"
"Éver Banega","Argentina","AR"
"Francesco Totti","Italy","IT"
"Santi Cazorla","Spain","ES"
"Thiago Alcântara","Spain","ES"
"Julian Weigl","Germany","DE"
"Ousmane Dembélé","France","FR"
